Tag,Data Type,Tipo,Comment,Modbus,,,,
DI1,BOOL,%IB,Entrada digital 1,16000,,,,
DI2,BOOL,%IB,Entrada digital 2,16001,,,,
DI3,BOOL,%IB,Entrada digital 3,16002,,,,
DI4,BOOL,%IB,Entrada digital 4,16003,,,,
DI5,BOOL,%IB,Entrada digital 5,16004,,,,
DI6,BOOL,%IB,Entrada digital 6,16005,,,, 
DI7,BOOL,%IB,Entrada digital 7,16006,,,,
DI8,BOOL,%IB,Entrada digital 8,16007,,,,
DI9,BOOL,%IB,Entrada digital 9,16008,,,,
DI10,BOOL,%IB,Entrada digital 10,16009,,,,
DI101,BOOL,%IB,Entrada digital 1 - Slot 1,16016,,,,
DI102,BOOL,%IB,Entrada digital 2 - Slot 1,16017,,,,
DI103,BOOL,%IB,Entrada digital 3 - Slot 1,16018,,,,
DI104,BOOL,%IB,Entrada digital 4 - Slot 1,16019,,,,
DI105,BOOL,%IB,Entrada digital 5 - Slot 1,16020,,,,
DI106,BOOL,%IB,Entrada digital 6 - Slot 1,16021,,,,
DI107,BOOL,%IB,Entrada digital 7 - Slot 1,16022,,,,
DI108,BOOL,%IB,Entrada digital 8 - Slot 1,16023,,,,
DI109,BOOL,%IB,Entrada digital 9 - Slot 1,16024,,,,
DI110,BOOL,%IB,Entrada digital 10 - Slot 1,16025,,,,
DI111,BOOL,%IB,Entrada digital 11 - Slot 1,16026,,,,
DI112,BOOL,%IB,Entrada digital 12 - Slot 1,16027,,,,
DI113,BOOL,%IB,Entrada digital 13 - Slot 1,16028,,,,
DI114,BOOL,%IB,Entrada digital 14 - Slot 1,16029,,,,
DI115,BOOL,%IB,Entrada digital 15 - Slot 1,16030,,,,
DI116,BOOL,%IB,Entrada digital 16 - Slot 1,16031,,,,
DI201,BOOL,%IB,Entrada digital 1 - Slot 2,16032,,,,
DI202,BOOL,%IB,Entrada digital 2 - Slot 2,16033,,,,
DI203,BOOL,%IB,Entrada digital 3 - Slot 2,16034,,,,
DI204,BOOL,%IB,Entrada digital 4 - Slot 2,16035,,,,
DI205,BOOL,%IB,Entrada digital 5 - Slot 2,16036,,,,
DI206,BOOL,%IB,Entrada digital 6 - Slot 2,16037,,,,
DI207,BOOL,%IB,Entrada digital 7 - Slot 2,16038,,,,
DI208,BOOL,%IB,Entrada digital 8 - Slot 2,16039,,,,
DI209,BOOL,%IB,Entrada digital 9 - Slot 2,16040,,,,
DI210,BOOL,%IB,Entrada digital 10 - Slot 2,16041,,,,
DI211,BOOL,%IB,Entrada digital 11 - Slot 2,16042,,,,
DI212,BOOL,%IB,Entrada digital 12 - Slot 2,16043,,,,
DI213,BOOL,%IB,Entrada digital 13 - Slot 2,16044,,,,
DI214,BOOL,%IB,Entrada digital 14 - Slot 2,16045,,,,
DI215,BOOL,%IB,Entrada digital 15 - Slot 2,16046,,,,
DI216,BOOL,%IB,Entrada digital 16 - Slot 2,16047,,,,
AI1,INT,%IW,Entrada analógica 1,5003,,,,
AI101,INT,%IW,Entrada analógica 1 _ Slot 1,5004,,,,
AI102,INT,%IW,Entrada analógica 2 _ Slot 1,5005,,,,
AI103,INT,%IW,Entrada analógica 3 _ Slot 1,5006,,,,
AI104,INT,%IW,Entrada analógica 4 _ Slot 1,5007,,,,
AI105,INT,%IW,Entrada analógica 5 _ Slot 1,5008,,,,
AI201,INT,%IW,Entrada analógica 1 _ Slot 2,5009,,,,
AI202,INT,%IW,Entrada analógica 2 _ Slot 2,5010,,,,
AI203,INT,%IW,Entrada analógica 3 _ Slot 2,5011,,,,
AI204,INT,%IW,Entrada analógica 4 _ Slot 2,5012,,,,
AI205,INT,%IW,Entrada analógica 5 _ Slot 2,5013,,,,
DO1,BOOL,%IB,Saída digital 1,16000,,,,
DO2,BOOL,%IB,Saída digital 2,16001,,,,
DO3,BOOL,%IB,Saída digital 3,16002,,,,
DO4,BOOL,%IB,Saída digital 4,16003,,,,
DO5,BOOL,%IB,Saída digital 5,16004,,,,
DO6,BOOL,%IB,Saída digital 6,16005,,,,
DO7,BOOL,%IB,Saída digital 7,16006,,,,
DO8,BOOL,%IB,Saída digital 8,16007,,,,
DO9,BOOL,%IB,Saída digital 9,16008,,,,
DO101,BOOL,%IB,Saída digital 1 - Slot 1,16016,,,,
DO102,BOOL,%IB,Saída digital 2 - Slot 1,16017,,,,
DO103,BOOL,%IB,Saída digital 3 - Slot 1,16018,,,,
DO104,BOOL,%IB,Saída digital 4 - Slot 1,16019,,,,
DO105,BOOL,%IB,Saída digital 5 - Slot 1,16020,,,,
DO106,BOOL,%IB,Saída digital 6 - Slot 1,16021,,,,
DO107,BOOL,%IB,Saída digital 7 - Slot 1,16022,,,,
DO108,BOOL,%IB,Saída digital 8 - Slot 1,16023,,,,
DO109,BOOL,%IB,Saída digital 9 - Slot 1,16024,,,,
DO110,BOOL,%IB,Saída digital 10 - Slot 1,16025,,,,
DO111,BOOL,%IB,Saída digital 11 - Slot 1,16026,,,,
DO112,BOOL,%IB,Saída digital 12 - Slot 1,16027,,,,
DO113,BOOL,%IB,Saída digital 13 - Slot 1,16028,,,,
DO114,BOOL,%IB,Saída digital 14 - Slot 1,16029,,,,
DO115,BOOL,%IB,Saída digital 15 - Slot 1,16030,,,,
DO116,BOOL,%IB,Saída digital 16 - Slot 1,16031,,,,
DO201,BOOL,%IB,Saída digital 1 - Slot 2,16032,,,,
DO202,BOOL,%IB,Saída digital 2 - Slot 2,16033,,,,
DO203,BOOL,%IB,Saída digital 3 - Slot 2,16034,,,,
DO204,BOOL,%IB,Saída digital 4 - Slot 2,16035,,,,
DO205,BOOL,%IB,Saída digital 5 - Slot 2,16036,,,,
DO206,BOOL,%IB,Saída digital 6 - Slot 2,16037,,,,
DO207,BOOL,%IB,Saída digital 7 - Slot 2,16038,,,,
DO208,BOOL,%IB,Saída digital 8 - Slot 2,16039,,,,
DO209,BOOL,%IB,Saída digital 9 - Slot 2,16040,,,,
DO210,BOOL,%IB,Saída digital 10 - Slot 2,16041,,,,
DO211,BOOL,%IB,Saída digital 11 - Slot 2,16042,,,,
DO212,BOOL,%IB,Saída digital 12 - Slot 2,16043,,,,
DO213,BOOL,%IB,Saída digital 13 - Slot 2,16044,,,,
DO214,BOOL,%IB,Saída digital 14 - Slot 2,16045,,,,
DO215,BOOL,%IB,Saída digital 15 - Slot 2,16046,,,,
DO216,BOOL,%IB,Saída digital 16 - Slot 2,16047,,,,
AO1,INT,%IW,Saída analógica 1,5003,,,,
AO101,INT,%IW,Saída analógica 1 - Slot 1,5004,,,,
AO102,INT,%IW,Saída analógica 2 - Slot 1,5005,,,,
AO201,INT,%IW,Saída analógica 1 - Slot 2,5006,,,,
AO202,INT,%IW,Saída analógica 2 - Slot 2,5007,,,,